"","V1","V2","V3","V4","V5"
"1",3,3,3,3,4
"2",3,3,3,3,4
"3",3,3,3,3,4
"4",3,3,3,3,4
"5",3,3,3,3,4
"6",3,3,3,3,4
"7",3,3,3,3,4
"8",3,3,3,3,4
"9",3,3,3,3,4
"10",3,3,3,3,4
"11",3,3,3,3,4
"12",3,3,3,3,4
"13",3,3,3,3,4
"14",3,3,4,3,4
"15",3,3,4,3,4
"16",3,3,4,3,4
"17",3,3,4,3,4
"18",3,4,4,3,4
"19",3,4,4,4,4
"20",3,4,5,4,4
"21",3,4,5,4,4
"22",3,4,5,4,4
"23",3,4,5,4,4
"24",3,4,5,4,4
"25",4,4,5,5,4
"26",4,4,5,5,4
"27",4,4,5,5,4
"28",4,4,5,5,4
"29",4,4,5,5,4
"30",5,5,6,5,5
"31",5,5,6,5,5
"32",5,5,6,5,5
"33",5,5,6,5,5
"34",5,5,6,5,5
"35",5,5,6,5,5
"36",5,5,6,5,5
"37",5,6,6,5,5
"38",5,6,6,5,5
"39",5,6,8,5,6
"40",7,7,8,5,9
"41",7,8,9,6,9
"42",10,9,9,6,7
"43",6,7,9,7,9
"44",7,9,9,8,7
"45",7,9,9,8,7
"46",7,9,9,9,8
"47",7,9,9,9,8
"48",8,10,10,9,10
"49",7,9,10,9,9
"50",8,11,10,10,10
"51",9,11,10,10,10
"52",9,11,10,10,10
"53",9,11,10,10,10
"54",9,11,10,9,9
"55",9,11,10,10,10
"56",10,11,10,10,10
"57",9,10,10,9,9
"58",10,11,10,10,10
"59",9,12,11,11,10
"60",9,11,11,9,10
"61",10,10,11,9,10
"62",9,10,11,11,9
"63",9,11,11,10,11
"64",8,9,10,10,9
"65",9,10,11,11,9
"66",8,9,10,9,12
"67",9,11,10,9,9
"68",9,11,10,9,9
"69",9,11,11,10,9
"70",9,8,10,10,9
"71",9,11,10,9,9
"72",9,12,11,10,9
"73",9,12,11,10,10
"74",9,11,10,9,9
"75",8,10,10,10,9
"76",9,11,11,11,10
"77",9,12,11,11,10
"78",8,8,10,10,9
"79",9,12,11,11,9
"80",9,12,11,11,9
"81",9,12,11,10,9
"82",9,11,11,11,10
"83",9,12,11,11,9
"84",9,12,11,11,10
"85",10,12,11,11,11
"86",10,12,11,11,11
"87",7,7,10,7,7
"88",9,12,11,11,11
"89",8,10,10,8,9
"90",10,10,10,9,10
"91",9,10,10,9,9
"92",9,12,10,9,9
"93",8,6,10,7,12
"94",9,11,10,10,9
"95",9,11,11,10,10
"96",9,11,11,10,10
"97",9,10,10,9,9
"98",10,11,11,10,10
"99",6,7,10,7,7
"100",7,7,10,7,7
